,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord,X,Y,Rating_scaled
32,8.4,28.797434,77.131771,Burger Box,0,"Near Allhabad Bank, Main Narela Road, Alipur","Near Allhabad Bank, Main Narela Rd, Alipur, Delhi, 110036, India",0,0,6.149214057638155,37.123147600582065,0.10802649784016875,0.807571341358416,0.5789473684210524
33,8.2,28.7925808,77.1341628999999,Nandu Bhojnalya,1,"Alipur, New Delhi","Alipur, New Delhi, Delhi 110036, India",0,0,6.67307904137993,36.85677899926525,0.11706604741511657,0.8017482371349132,0.5263157894736838
34,8.2,28.793189,77.135311,Changegi Chicken corner,0,"Near Wine Shop, Khatri Complex, Alipur, Block E, Alipur","Near Wine Shop, Khatri Complex, Alipur, Block E, Alipur, Delhi, 110036, India",0,0,6.716201797446976,36.9802312441948,0.11781015191412732,0.8044470360372474,0.5263157894736838
35,8.4,28.797606,77.1449566999999,Carnival Banquets,0,"1000, Narela Road, Alipur, Delhi","1000, Narela Rd, Alipur, Delhi, 110036, India",0,0,7.12761469119705,37.95812916630982,0.12490928501949959,0.8258249367818243,0.5789473684210524
36,10.0,28.8062229,77.1539253999999,Jassi Da Dhabba,1,"Palla Bakhtawarpur Road, Bakhtawar Pur Village, Delhi","Palla Bakhtawarpur Rd, Bakhtawar Pur Village, Delhi, 110036, India",0,0,7.190324149671772,39.25312878577586,0.1259913677627505,0.8541350218153761,0.9999999999999998
37,9.8,28.8228944,77.1717726,THE BURGER BANK,1,"Shop 1 Sharma market, opposite bank of India, Bakhtawar Pur","Shop 1 Sharma market, opposite bank of India, Bakhtawar Pur, Bakhtawarpur, Delhi, 110036, India",0,0,7.348833756263872,41.789275012820596,0.12872652947686317,0.9095779070995914,0.9473684210526316
38,10.0,28.5694345,76.9070904,DELHI- 73 PIZZA STORE,1,"Ujwa, Delhi","Ujwa, Delhi, 110073, India",0,0,5.438432485207334,3.625544889488422,0.09576161001534157,0.07527770442112376,0.9999999999999998
39,10.0,28.5704185,76.9077947999999,Radisson Fast And Food Plaza,1,"Ujwa, New Delhi","Ujwa, New Delhi, Delhi 110073, India",0,0,5.421547004484778,3.753667658246222,0.09547024268821439,0.07807860599958366,0.9999999999999998
40,8.4,28.6083486,76.9451905,Saini Sweets Corner,0,"Mitraon, Najafgarh, Delhi","Mitraon, Najafgarh, Delhi, 110043, India",0,0,5.540872059033892,9.329813695703674,0.09752925556291676,0.19997915802060534,0.5789473684210524
41,7.6,28.6612746,77.0098206999999,South Indian Cafe,0,"Pocket B1, Lok Nayak Puram, Bakkarwala, Delhi","Pocket B1, Lok Nayak Puram, Bakkarwala, Delhi, 110041, India",1,0,6.643395024154756,17.88404592256408,0.11655383500615964,0.3869838784073343,0.36842105263157876
