,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2761,7.6,28.5571831,77.1641111,Le Marche,1,"58, Munirka Marg, Basant Lok, Vasant Vihar, South West Delhi, New Delhi","58, Munirka Marg, Basant Lok, Vasant Vihar, South West Delhi, Basant Lok, Vasant Vihar, New Delhi, Delhi 110057, India",0,0,25.633753951765033,18.593710230237487
2762,9.0,28.5690959,77.1850733999999,La Piazza,1,"First Floor, Hyatt Regency, Ring Road, Bhikaiji Cama Place, Near Fire Station,, New Delhi","First Floor, Hyatt Regency, Ring Road, Bhikaiji Cama Place, Near Fire Station,, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.363092242933416,20.91883530446347
2763,7.8,28.5650862999999,77.1807898,Nazeers Delicacies,1,"K-28, Kashmiri Market, Vivekanand Marg, Sector 1, RK Puram, New Delhi","K-28, Kashmiri Market, Vivekanand Marg, Sector 1, RK Puram, West Block 6, Sector 5, RK Puram, New Delhi, Delhi 110066, India",0,0,26.32603507451076,20.309007485428598
2764,8.8,28.569021,77.184953,The China Kitchen,1,"Ground floor, Hyatt Regency Delhi, Bhikaiji Cama Place, Ring road, New Delhi","Ground floor, Hyatt Regency Delhi, Bhikaiji Cama Place, Ring road, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.35936387146073,20.90492749314635
2765,9.4,28.569157,77.185087,Pool Bar,1,"Hyatt Regency Delhi, Bhikaji Cama Place,, Ring Road, New Delhi","Hyatt Regency Delhi, Bhikaji Cama Place,, Ring Road, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110022, India",1,0,26.359771622282636,20.92490783399192
2766,8.4,28.5690548,77.1851794999999,Cafe,1,"Hyatt Regency, Lobby Level, Ring Road, Bhikaji Cama Place, Delhi, New Delhi","Hyatt Regency, Lobby Level, Ring Rd, Bhikaji Cama Place, Delhi, New Delhi, Delhi 110066, India",0,0,26.373991052373633,20.921932102981664
2767,8.6,28.569159,77.1851839999999,HouseA Club Delhi,1,"Hyatt Regency Delhi, Bhikaji Cama Place, New Delhi","Hyatt Regency Delhi, Bhikaji Cama Place, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",2,0,26.36692255967835,20.931123333697503
2768,9.0,28.5690122,77.1855114999999,TK's Oriental Grill,1,"Ground floor, Hyatt Regency, Ring Road, Bhikaji Cama Place, RK Puram, New Delhi","Ground floor, Hyatt Regency, Ring Rd, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.40198116159657,20.938977390710125
2769,8.2,28.5693845,77.1871348999999,Bistro 360,1,"Sf-9, Bhikaji Cama Bhavan, Bhikaji Cama Place, above Central Bank of India, New Delhi","Sf-9, Bhikaji Cama Bhavan, Bhikaji Cama Place, above Central Bank of India, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.497574835904086,21.07197569599354
2770,10.0,28.566979,77.1756439,Lucky Tent House,1,"Ekta Vihar, Sector 6, RK Puram, New Delhi","Ekta Vihar, Sector 6, RK Puram, New Delhi, Delhi 110022, India",0,0,25.804589132669047,20.150206615227763
